Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Input Shapes,Output Shapes,mac_ratio,mte2_ratio
0,MatMulV2,AI_CORE,AI_CORE,1704161511420260.000,178.306,14.265,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511420438.250,92.820,7.426,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511420531.000,19.235,1.539,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511420777.000,167.175,13.374,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511420944.250,89.402,7.152,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511421033.750,20.273,1.622,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511421105.250,157.378,12.590,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511421262.750,94.202,7.536,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511421357.000,25.212,2.017,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511421429.000,166.427,13.314,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511421595.500,91.752,7.340,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511421687.250,20.216,1.617,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511421759.000,160.721,12.858,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511421919.750,90.803,7.264,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511422010.500,18.259,1.461,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511422072.500,164.030,13.122,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511422236.500,87.400,6.992,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511422324.000,18.833,1.507,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511422387.500,153.915,12.313,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511422541.500,89.420,7.154,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511422631.000,19.545,1.564,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511422700.250,173.730,13.898,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511422874.000,85.863,6.869,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511422959.750,24.170,1.934,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511423033.500,178.372,14.270,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511423211.750,82.678,6.614,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511423294.500,20.371,1.630,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511423360.750,160.427,12.834,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511423521.250,97.404,7.792,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511423618.750,25.653,2.052,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511423689.750,159.880,12.790,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511423849.750,81.404,6.512,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511423931.250,20.753,1.660,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511424002.500,177.033,14.163,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511424179.500,84.977,6.798,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511424264.500,23.049,1.844,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511424335.750,186.789,14.943,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511424522.500,85.131,6.811,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511424607.750,17.963,1.437,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511424677.750,154.967,12.397,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511424832.750,88.291,7.063,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511424921.000,22.977,1.838,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511424994.750,169.801,13.584,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511425164.500,98.730,7.898,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511425263.250,24.208,1.937,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511425336.250,164.264,13.141,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511425500.500,88.003,7.040,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511425588.500,20.569,1.646,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511425659.250,175.404,14.032,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511425834.750,87.161,6.973,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511425922.000,25.472,2.038,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511425999.000,157.313,12.585,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511426156.250,96.033,7.683,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.21,0.58
