Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Input Shapes,Output Shapes,mac_ratio,mte2_ratio
0,MatMulV2,AI_CORE,AI_CORE,1704161511420900.000,3945.038,315.603,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511424845.000,2662.945,213.036,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511427508.000,214.254,17.140,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511427782.250,4424.575,353.966,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511432206.750,2441.631,195.330,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511434648.500,207.626,16.610,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511434856.250,3921.619,313.730,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511438777.750,2546.697,203.736,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511441324.500,234.388,18.751,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511441559.000,3888.929,311.114,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511445448.000,2357.674,188.614,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511447805.750,190.181,15.214,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511447996.000,4148.845,331.908,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511452144.750,2436.145,194.892,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511454581.000,233.360,18.669,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511454814.250,3935.545,314.844,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511458749.750,2692.197,215.376,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511461442.000,249.908,19.993,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511461692.000,4329.379,346.350,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511466021.500,2653.716,212.297,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511468675.250,248.340,19.867,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511468923.500,4011.383,320.911,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511472935.000,2839.168,227.133,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511475774.250,173.907,13.913,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511475948.250,3996.132,319.691,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511479944.500,2724.473,217.958,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511482669.000,172.415,13.793,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
0,MatMulV2,AI_CORE,AI_CORE,1704161511482841.500,4451.027,356.082,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,FusedInferAttentionScore,AI_CORE,AI_CORE,1704161511487292.500,2364.612,189.169,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.72,0.38
0,RmsNorm,AI_VECTOR_CORE,AI_VECTOR_CORE,1704161511489657.000,170.965,13.677,24,"[[1,1024],[1024,4096]]","[[1,4096]]",0.05,0.3
